Date,Open,High,Low,Close,Volume,Adj Close
7/15/16,216.779999,217.009995,215.309998,215.830002,97195600,215.830002
7/14/16,216.399994,216.669998,215.660004,216.119995,91230900,216.119995
7/13/16,215.440002,215.449997,214.350006,214.919998,87324100,214.919998
7/12/16,214.529999,215.300003,213.429993,214.949997,101275600,214.949997
7/11/16,213.190002,214.070007,212.949997,213.399994,73633900,213.399994
7/8/16,211.050003,212.940002,210.779999,212.649994,133971000,212.649994
7/7/16,209.869995,210.649994,208.630005,209.529999,85593800,209.529999
7/6/16,207.830002,209.800003,207.059998,209.660004,96021500,209.660004
7/5/16,208.949997,209.080002,207.710007,208.410004,109803700,208.410004
7/1/16,209.479996,210.490005,209.289993,209.919998,106055300,209.919998
6/30/16,207.210007,209.539993,206.559998,209.479996,165021900,209.479996
6/29/16,204.839996,206.929993,204.720001,206.660004,137328600,206.660004
6/28/16,201.479996,203.229996,201.119995,203.199997,159382400,203.199997
6/27/16,201.589996,201.600006,198.649994,199.600006,230775800,199.600006
6/24/16,203.630005,210.850006,202.720001,203.240005,333444400,203.240005
6/23/16,209.809998,210.869995,209.270004,210.809998,102731400,210.809998
6/22/16,208.649994,209.5,207.929993,208.100006,95560500,208.100006
6/21/16,208.300003,208.919998,207.779999,208.440002,72461700,208.440002
6/20/16,208.820007,209.610001,207.75,207.850006,82789600,207.850006
6/17/16,207.169998,207.199997,205.75,206.520004,117055700,206.520004
6/16/16,207.75,208.570007,205.589996,208.369995,149533100,207.291992
6/15/16,208.039993,209.360001,207.529999,207.75,109124500,206.675204
6/14/16,208,208.740005,206.919998,208.039993,125059300,206.963697
6/13/16,209.360001,210.369995,208.350006,208.449997,117751200,207.37158
6/10/16,210.460007,210.860001,209.429993,210.070007,113829200,208.983209
6/9/16,211.509995,212.220001,211.190002,212.080002,73786900,210.982805
6/8/16,211.839996,212.520004,211.690002,212.369995,66170900,211.271298
6/7/16,211.529999,212.339996,211.5,211.679993,60974800,210.584865
6/6/16,210.699997,211.770004,210.509995,211.350006,64887000,210.256586
6/3/16,210.25,210.690002,208.860001,210.279999,101757100,209.192114
6/2/16,209.800003,210.929993,209.240005,210.910004,63044700,209.81886
6/1/16,209.119995,210.479996,208.889999,210.270004,69936200,209.182171
5/31/16,210.559998,210.690002,209.179993,209.839996,109879400,208.754388
5/27/16,209.529999,210.25,209.470001,210.240005,64211200,209.152328
5/26/16,209.440002,209.710007,208.970001,209.339996,55280700,208.256975
5/25/16,208.669998,209.770004,207.869995,209.279999,76621400,208.197288
5/24/16,206.169998,208.240005,206.139999,207.869995,93537800,206.794579
5/23/16,205.509995,205.839996,204.990005,205.210007,58682600,204.148352
5/20/16,204.919998,206.100006,204.860001,205.490005,104990400,204.426902
5/19/16,204.059998,204.539993,202.779999,204.199997,115430500,203.143567
5/18/16,204.440002,206.300003,203.630005,204.910004,123493400,203.849901
5/17/16,206.460007,206.800003,204.229996,204.850006,114924900,203.790214
5/16/16,204.960007,207.339996,204.889999,206.779999,77486800,205.710222
5/13/16,206.210007,206.860001,204.380005,204.759995,96474600,203.700668
5/12/16,207.289993,207.490005,205.369995,206.559998,89586300,205.491359
5/11/16,207.910004,208.539993,206.5,206.5,81727000,205.431671
5/10/16,206.720001,208.470001,206.639999,208.449997,77472200,207.37158
5/9/16,205.570007,206.399994,205.360001,205.889999,74374900,204.824827
5/6/16,204.059998,205.770004,203.880005,205.720001,89315000,204.655708
5/5/16,205.559998,205.979996,204.470001,204.970001,67619200,203.909588
5/4/16,204.990005,205.850006,204.419998,205.009995,92243800,203.949374
5/3/16,206.520004,206.800003,205.279999,206.160004,106422100,205.093434
5/2/16,206.919998,208.179993,206.410004,207.970001,62188000,206.894068
4/29/16,206.720001,207.130005,205.029999,206.330002,142424100,205.262553
4/28/16,208.460007,209.759995,206.960007,207.449997,97216200,206.376753
4/27/16,208.470001,209.809998,208.050003,209.350006,77329400,208.266933
4/26/16,209.039993,209.520004,208.360001,208.919998,75864200,207.83915
4/25/16,208.259995,208.660004,207.539993,208.610001,66166500,207.530756
4/22/16,208.550003,209.289993,207.910004,208.970001,99251700,207.888894
4/21/16,210.119995,210.25,208.649994,208.970001,85695000,207.888894
4/20/16,209.949997,210.919998,209.389999,210.100006,81100300,209.013053
4/19/16,209.740005,210.199997,208.940002,209.899994,88316100,208.814075
4/18/16,207.779999,209.279999,207,209.240005,82531000,208.157501
4/15/16,208.009995,208.169998,207.399994,207.779999,75761600,206.705048
4/14/16,208.070007,208.600006,207.600006,208.009995,65212900,206.933854
4/13/16,207,208.100006,206.839996,208,96336400,206.923911
4/12/16,204.220001,206.25,203.699997,205.919998,115350600,204.85467
4/11/16,205.25,206.070007,203.910004,204.020004,83757500,202.964506
4/8/16,205.339996,205.850006,203.869995,204.5,95040600,203.442018
4/7/16,205.139999,206.419998,203.089996,203.949997,113859000,202.894861
4/6/16,204.190002,206.490005,203.979996,206.419998,91839800,205.352083
4/5/16,204.669998,206.259995,203.889999,204.190002,99662200,203.133625
4/4/16,206.830002,207.070007,205.889999,206.25,63497000,205.182965
4/1/16,204.350006,207.139999,203.979996,206.919998,114423500,205.849497
3/31/16,205.910004,206.410004,205.330002,205.520004,94584100,204.456746
3/30/16,206.300003,206.869995,205.589996,206.020004,86365300,204.954159
3/29/16,202.759995,205.25,202.399994,205.119995,92922900,204.058806
3/28/16,203.610001,203.860001,202.710007,203.240005,62408200,202.188542
3/24/16,202,203.160004,201.740005,203.119995,84360900,202.069153
3/23/16,204.110001,204.330002,203.009995,203.210007,81052500,202.158699
3/22/16,203.759995,205.229996,203.570007,204.559998,97471900,203.501706
3/21/16,204.070007,204.940002,203.800003,204.669998,72926700,203.611137
3/18/16,204.169998,204.779999,203.800003,204.380005,138372400,203.322644
3/17/16,203.240005,205.229996,202.770004,204.630005,134278500,202.526784
3/16/16,201.600006,203.820007,201.550003,203.339996,129303200,201.250034
3/15/16,201.360001,202.529999,201.050003,202.169998,93169100,200.092062
3/14/16,202.160004,203.039993,201.770004,202.5,73612000,200.418672
3/11/16,201.259995,202.809998,199.520004,202.759995,137964500,200.675994
3/10/16,199.960007,201.070007,197.380005,199.539993,156838700,197.489088
3/9/16,199.360001,199.789993,198.429993,199.380005,94801200,197.330744
3/8/16,199.320007,199.919998,198.210007,198.399994,123974900,196.360806
3/7/16,199.339996,201.070007,199.25,200.589996,100219000,198.528299
3/4/16,200.009995,201.350006,199.029999,200.429993,129293600,198.36994
3/3/16,198.789993,199.800003,198.110001,199.779999,95172200,197.726627
3/2/16,197.740005,199.059998,197.25,199,102415000,196.954645
3/1/16,195.009995,198.210007,194.449997,198.110001,141799700,196.073793
2/29/16,195.110001,196.229996,193.330002,193.559998,125918100,191.570556
2/26/16,196.570007,196.679993,194.899994,195.089996,129833700,193.084829
2/25/16,193.729996,195.550003,192.830002,195.539993,110728300,193.530201
2/24/16,190.630005,193.529999,189.320007,193.199997,150812200,191.214255
2/23/16,194,194.320007,192.179993,192.320007,111455300,190.34331
2/22/16,193.869995,194.949997,193.789993,194.779999,103640300,192.778018
2/19/16,191.169998,192.179993,190.449997,192,114793000,190.026592
2/18/16,193.199997,193.270004,191.720001,192.089996,102343000,190.115664
2/17/16,191.160004,193.320007,191.009995,192.880005,136009500,190.897552
2/16/16,188.770004,189.809998,187.630005,189.779999,120250700,187.829409
2/12/16,184.960007,186.649994,183.960007,186.630005,127632400,184.711791
2/11/16,182.339996,184.100006,181.089996,182.860001,219058900,180.980535
2/10/16,186.410004,188.339996,185.119995,185.270004,148214100,183.365769
2/9/16,183.360001,186.940002,183.199997,185.429993,184513100,183.524113
2/8/16,185.770004,186.119995,182.800003,185.419998,191526700,183.514221
2/5/16,190.990005,191.669998,187.199997,187.949997,180788300,186.018216
2/4/16,190.710007,192.75,189.960007,191.600006,139531800,189.63071
2/3/16,191.410004,191.779999,187.100006,191.300003,205054900,189.33379
2/2/16,191.960007,191.970001,189.539993,190.160004,182564900,188.205508
2/1/16,192.529999,194.580002,191.839996,193.649994,136061600,191.659627
1/29/16,190.020004,193.880005,189.880005,193.720001,210529300,191.728915
1/28/16,189.960007,190.199997,187.160004,189.110001,143798800,187.166297
1/27/16,189.580002,191.559998,187.059998,188.130005,185681700,186.196374
1/26/16,188.419998,190.529999,188.020004,190.199997,141036800,188.24509
1/25/16,189.919998,190.149994,187.410004,187.639999,130371700,185.711404
1/22/16,189.779999,190.759995,188.880005,190.520004,168319600,188.561808
1/21/16,186.210007,188.869995,184.639999,186.690002,195772900,184.771172
1/20/16,185.029999,187.5,181.020004,185.649994,286547800,183.741853
1/19/16,189.960007,190.110001,186.199997,188.059998,195244400,186.127086
1/15/16,186.770004,188.759995,185.520004,187.809998,324846400,185.879655
1/14/16,189.550003,193.259995,187.660004,191.929993,240795600,189.957304
1/13/16,194.449997,194.860001,188.380005,188.830002,221168900,186.889176
1/12/16,193.820007,194.550003,191.139999,193.660004,172330500,191.669534
1/11/16,193.009995,193.410004,189.820007,192.110001,187941300,190.135462
1/8/16,195.190002,195.850006,191.580002,191.919998,209817200,189.947413
1/7/16,195.330002,197.440002,193.589996,194.050003,213436100,192.055525
1/6/16,198.339996,200.059998,197.600006,198.820007,152112600,196.776502
1/5/16,201.399994,201.899994,200.050003,201.360001,110845800,199.290389
1/4/16,200.490005,201.029999,198.589996,201.020004,222353500,198.953887
12/31/15,205.130005,205.889999,203.869995,203.869995,114877900,201.774586
12/30/15,207.110001,207.210007,205.759995,205.929993,63317700,203.81341
12/29/15,206.509995,207.789993,206.470001,207.399994,92640700,205.268302
12/28/15,204.860001,205.259995,203.940002,205.210007,65899900,203.100824
12/24/15,205.720001,206.330002,205.419998,205.679993,48542200,203.56598
12/23/15,204.690002,206.070007,204.580002,206.020004,110987200,203.902497
12/22/15,202.720001,203.850006,201.550003,203.5,111026200,201.408393
12/21/15,201.410004,201.880005,200.089996,201.669998,99094300,199.597201
12/18/15,202.770004,202.929993,199.830002,200.020004,251393500,197.964166
12/17/15,208.399994,208.479996,204.839996,204.860001,173092500,201.55487
12/16/15,206.369995,208.389999,204.800003,208.029999,197017000,204.673725
12/15/15,204.699997,206.110001,202.869995,205.029999,154069600,201.722125
12/14/15,202.070007,203.050003,199.949997,202.899994,182385200,199.626485
12/11/15,203.350006,204.139999,201.509995,201.880005,211173300,198.622952
12/10/15,205.419998,207.429993,205.139999,205.869995,116128900,202.54857
12/9/15,206.190002,208.679993,204.179993,205.339996,162401500,202.027122
12/8/15,206.490005,208.289993,205.779999,206.949997,103372400,203.611147
12/7/15,209.229996,209.729996,207.199997,208.350006,102027100,204.988569
12/4/15,205.610001,209.970001,205.610001,209.619995,192913900,206.238069
12/3/15,208.830002,209.149994,204.75,205.610001,166224200,202.29277
12/2/15,210.619995,211,208.229996,208.529999,108441300,205.165658
12/1/15,209.440002,210.820007,209.110001,210.679993,97858400,207.280965
11/30/15,209.75,209.889999,208.559998,208.690002,112822700,205.32308
11/27/15,209.429993,209.800003,208.860001,209.559998,37317800,206.179039
11/25/15,209.5,209.740005,209.009995,209.320007,51980100,205.942921
11/24/15,207.869995,209.830002,207.410004,209.350006,98874400,205.972435
11/23/15,209.380005,209.979996,208.520004,209.070007,64931200,205.696954
11/20/15,209.449997,210.119995,208.860001,209.309998,94011500,205.933072
11/19/15,208.589996,209.050003,208.199997,208.550003,88220500,205.185339
11/18/15,206.039993,208.899994,205.990005,208.729996,121342500,205.362428
11/17/15,205.990005,207.039993,204.880005,205.470001,121123700,202.155029
11/16/15,202.320007,205.690002,202.179993,205.619995,117645200,202.302603
11/13/15,204.350006,204.669998,202.440002,202.539993,153577100,199.272293
11/12/15,206.5,207.059998,204.820007,204.839996,121315200,201.535188
